campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:896:288:3584:16:16:384:1:2:1:1:1:1:1:2:1:1:1:3:2:4:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,30.4156332459
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,14:256:1408:3584:48:48:48:64:32:4:4:1:8:8:1:1:1:7:2:1:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,75.5460760924
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,10:192:2816:3584:32:32:32:16:32:1:4:1:8:8:2:2:2:1:1:10:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,8.0606884226
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,10:192:2816:3584:96:336:96:4:2:2:2:1:1:1:1:1:1:5:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,16.7829089353
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:608:224:3584:368:32:16:2:2:1:1:0:2:2:2:2:2:1:3:3:5:2:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3.90971370245
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:192:480:3584:16:16:1024:8:4:4:4:1:1:1:2:2:2:1:6:10:1:2:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,15.5269762854
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:160:704:3584:32:32:16:8:4:2:1:0:2:2:1:2:1:4:1:3:4:2:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,11.2938624223
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,6:352:2816:3584:352:48:16:4:8:1:2:0:4:4:2:1:1:1:1:6:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,8.59485491564
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:256:304:3584:96:304:16:1:1:1:1:1:1:1:1:2:1:7:4:1:3:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,16.6041834475
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:64:96:3584:16:48:512:2:2:1:2:1:1:1:1:1:1:28:3:1:14:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,11.4494450912
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:80:80:3584:80:16:16:2:8:1:2:1:2:2:1:1:1:23:2:1:21:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,10.9558153175
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:832:272:3587:128:32:160:2:1:1:1:1:1:1:1:2:1:2:3:1:4:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,21.6007247337
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:832:272:3587:48:32:16:32:16:2:2:1:8:8:2:1:1:1:2:2:8:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,9.57107975703
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,14:240:1296:3587:48:48:48:64:32:4:4:1:8:8:1:1:1:7:1:1:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,32.1601249263
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,18:1664:144:3587:64:80:16:4:1:2:1:0:1:1:1:2:1:1:18:1:1:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,61.5214485456
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,20:160:1296:3587:16:16:384:2:1:2:1:0:1:1:2:2:2:4:1:3:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,25.4189983538
