campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:64:16:8:1:1:0:8:4:1:1:1:1:1:12:10:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:176:176:3072:176:176:64:10:10:1:1:0:5:5:2:2:1:1:1:9:15:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:512:64:3072:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:3:40:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:176:176:3072:176:176:64:10:10:1:1:0:5:5:2:2:1:1:1:9:15:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:192:160:3072:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:8:16:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:384:64:3072:384:64:16:20:120:1:1:0:10:60:2:2:1:1:1:4:40:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:448:64:3072:448:64:16:18:126:1:1:0:9:63:2:2:1:1:1:4:40:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:64:16:8:1:1:0:8:4:1:1:1:1:1:12:10:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:64:16:8:1:1:0:8:4:1:1:1:2:1:6:10:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:448:48:3072:448:48:32:8:80:1:1:0:4:40:2:2:1:1:1:4:54:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:1:1:24:3:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:192:160:4096:192:160:64:10:10:1:1:0:5:5:2:2:1:1:1:16:5:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:320:48:4096:320:48:16:24:168:1:1:0:12:84:2:2:1:1:1:10:16:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:192:160:4096:192:160:64:10:10:1:1:0:5:5:2:2:1:1:1:16:5:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:128:4096:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:12:6:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:2:1:12:3:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:512:48:4096:512:48:32:8:80:1:1:0:4:40:2:2:1:1:1:6:16:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:448:48:4096:448:48:16:18:162:1:1:0:9:81:2:2:1:1:1:7:16:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:256:48:4096:256:48:16:32:160:1:1:0:16:80:2:2:1:1:1:12:16:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:1:1:6:12:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:192:160:4096:192:160:64:10:10:1:1:0:5:5:2:2:1:1:1:4:20:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:448:48:4096:448:48:16:18:162:1:1:0:9:81:2:2:1:1:1:2:64:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:192:160:4096:192:160:64:10:10:1:1:0:5:5:2:2:1:1:1:4:20:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:128:4096:256:128:32:16:32:1:1:0:8:16:2:2:1:1:1:3:24:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:1:1:6:12:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:1:2:6:6:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:448:48:4096:448:48:32:8:80:1:1:0:4:40:2:2:1:1:1:2:64:1:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:384:48:4096:384:48:16:20:160:1:1:0:10:80:2:2:1:1:1:2:64:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:320:48:4096:320:48:16:24:168:1:1:0:12:84:2:2:1:1:1:3:64:0:0
general_search_v1_round2,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:128:256:4096:128:256:64:16:8:1:1:0:8:4:1:1:1:3:1:11:24:0:0
