campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:3:1:10:32:0:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:448:48:4096:448:48:32:8:80:1:1:0:4:40:2:2:1:2:1:5:128:1:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:176:176:4096:176:176:32:22:22:1:1:0:11:11:2:2:1:3:1:9:35:0:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:3:1:9:32:0:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:160:192:4096:160:192:32:20:20:1:1:0:10:10:2:2:1:3:1:9:32:1:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:144:224:4096:144:224:64:8:8:1:1:0:4:4:2:2:1:3:1:10:28:0:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:144:224:4096:144:224:64:8:8:1:1:0:4:4:2:2:1:3:1:10:28:1:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:144:224:4096:144:224:64:8:8:1:1:0:4:4:2:2:1:3:1:11:28:0:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:144:224:4096:144:224:32:18:18:1:1:0:9:9:2:2:1:3:1:10:28:1:0
general_search_v1_round3_partial,Ascend910B3,20,general_holdout_large,4096,6144,4096,fp16,0,0,20:512:64:4096:512:64:16:16:128:1:1:0:8:64:2:2:1:2:1:4:96:0:0
