campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:128:256:3072:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:12:10:1:0,global,0.110794,1.15518661462,1.15331075151,regressed,regressed,1.00312098424
general_search_v1_round4,Ascend910B3,20,general_holdout_balanced,1536,2560,3072,fp16,0,0,20:512:64:3072:512:64:32:8:64:1:1:0:4:32:2:2:1:1:1:3:40:1:0,diverse,0.191406,1.99568532832,1.99244464989,regressed,regressed,1.35205588926
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:192:160:4096:192:160:32:20:20:1:1:0:10:10:2:2:1:1:1:16:5:0:0,global,0.115024,0.996512207275,0.998821390759,within_noise,within_noise,1.00320535121
general_search_v1_round4,Ascend910B3,20,general_holdout_tall,3072,768,4096,fp16,0,0,20:512:64:4096:512:64:16:16:128:1:1:0:8:64:2:2:1:1:1:6:12:1:0,diverse,0.115058,0.996810207337,0.999110791396,within_noise,within_noise,1.32706632629
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:128:256:4096:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:6:12:0:0,global,0.079988,0.994599325662,0.993986382387,within_noise,within_noise,1.00315603811
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:96:224:4096:96:224:64:10:10:1:1:0:5:5:2:2:1:1:1:8:14:0:0,transfer,0.080043,1.00003900152,0.999480270259,within_noise,within_noise,1.17822694138
general_search_v1_round4,Ascend910B3,20,general_holdout_wide,768,3072,4096,fp16,0,0,20:256:48:4096:256:48:16:32:160:1:1:0:16:80:2:2:1:1:1:3:64:0:0,diverse,0.079958,0.994233446013,0.993611080751,within_noise,within_noise,1.73416170965
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:160:192:4099:160:192:64:10:10:1:1:0:5:5:2:2:1:1:1:10:13:1:0,global,0.195046,0.939593531838,0.934046945199,improved,improved,0.964352107281
general_search_v1_round4,Ascend910B3,20,general_holdout_odd,1537,2305,4099,fp16,0,0,20:512:64:4099:512:64:32:8:64:1:1:0:4:32:2:2:1:1:1:4:37:1:0,diverse,0.269318,1.29738032964,1.28972681007,regressed,regressed,1.45055514099
general_search_v1_round4,Ascend910B3,20,general_holdout_skinny_m,33,3072,8192,fp16,0,0,20:16:16:8192:16:16:32:256:256:1:1:0:128:128:2:2:1:1:1:3:192:0:0,diverse,0.034834,0.994065429387,0.999480270259,within_noise,within_noise,1.20144678996
general_search_v1_round4,Ascend910B3,20,general_holdout_skinny_n_k8192,3072,80,8192,fp16,0,0,20:128:80:8192:128:80:64:16:16:1:1:0:8:8:2:2:1:2:1:12:1:0:0,local,0.04038,0.995460699212,0.98199994108,within_noise,improved,1.09813331671
general_search_v1_round4,Ascend910B3,20,general_holdout_skinny_n_k8192,3072,80,8192,fp16,0,0,20:160:192:8192:160:192:64:10:10:1:1:0:5:5:2:2:1:1:1:20:1:1:0,global,0.040448,0.997138213328,0.983661384405,within_noise,improved,0.977802835742
general_search_v1_round4,Ascend910B3,20,general_holdout_skinny_n_k8192,3072,80,8192,fp16,0,0,20:96:80:8192:96:80:128:8:8:1:1:0:4:4:2:2:1:1:1:32:1:0:0,transfer,0.040686,1.00300802106,0.989442646957,within_noise,improved,1.03776312892
general_search_v1_round4,Ascend910B3,20,general_holdout_skinny_n_k8192,3072,80,8192,fp16,0,0,20:512:16:8192:512:16:32:8:256:1:1:0:4:128:2:2:1:1:1:6:5:1:0,diverse,0.04122,1.01617238348,1.00243189979,regressed,within_noise,1.68127215271
general_search_v1_round4,Ascend910B3,20,general_holdout_shallow_k,1536,1536,256,fp16,0,0,20:176:112:256:176:112:64:10:10:1:1:0:5:5:2:2:1:1:1:9:14:0:0,transfer,0.010746,1.01857784125,0.996472487395,within_noise,within_noise,1.09850293358
general_search_v1_round4,Ascend910B3,20,general_holdout_shallow_k,1536,1536,256,fp16,0,0,20:192:64:256:192:64:16:42:126:1:1:0:21:63:2:2:1:2:1:4:24:0:0,diverse,0.01059,1.00379131981,0.982009584414,within_noise,within_noise,1.54580838748
general_search_v1_round4,Ascend910B3,20,general_holdout_trans_a,1536,2048,3072,fp16,1,0,20:128:256:3072:128:256:32:32:16:1:1:0:16:8:2:2:1:1:1:12:8:0:0,global,0.106228,1.2868952879,1.28886242425,regressed,regressed,1.00318687748
general_search_v1_round4,Ascend910B3,20,general_holdout_trans_a,1536,2048,3072,fp16,1,0,20:512:64:3072:512:64:16:16:128:1:1:0:8:64:2:2:1:1:2:3:16:0:0,diverse,0.1475,1.78688214083,1.78961308565,regressed,regressed,1.55257732198
