id,m,n,k,dtype,trans_a,trans_b,max_cores
llm_decode_qkv_1,1,12288,4096,fp16,0,0,24
llm_decode_o_1,1,4096,4096,fp16,0,0,24
llm_decode_ffn_up_1,1,11008,4096,fp16,0,0,24
llm_decode_ffn_down_1,1,4096,11008,fp16,0,0,24
llm_batch8_qkv,8,12288,4096,fp16,0,0,24
llm_batch32_ffn_up,32,11008,4096,fp16,0,0,24
llm_prefill128_qkv,128,12288,4096,fp16,0,0,24
llm_prefill512_ffn_up,512,11008,4096,fp16,0,0,24
llm_prefill2048_ffn_down,2048,4096,11008,fp16,0,0,24
llm_full_4096_ffn_up,4096,11008,4096,fp16,0,0,24
llm_full_4096_ffn_down,4096,4096,11008,fp16,0,0,24
llm_8192_square,8192,8192,8192,fp16,0,0,24
attention_score_128,128,128,128,fp16,0,1,24
attention_score_1024,1024,1024,128,fp16,0,1,24
attention_value_1024,1024,128,1024,fp16,0,0,24
vision_projection,3136,4096,1024,fp16,0,0,24
skinny_m_large_k,17,4096,16384,fp16,0,0,24
skinny_n_large_k,4096,17,16384,fp16,0,0,24
skinny_n_holdout_m3072_k8192,3072,17,8192,fp16,0,0,24
skinny_n_holdout_n24_k12288,4096,24,12288,fp16,0,0,24
skinny_n_holdout_m4608_n31,4608,31,16384,fp16,0,0,24
skinny_n_boundary_n33,4096,33,16384,fp16,0,0,24
skinny_n_boundary_holdout_m3072_n40,3072,40,16384,fp16,0,0,24
skinny_n_boundary_holdout_m4096_n47,4096,47,16384,fp16,0,0,24
skinny_n_boundary_holdout_m5120_n48,5120,48,16384,fp16,0,0,24
skinny_n_boundary64_holdout_m3072_n49,3072,49,16384,fp16,0,0,24
skinny_n_boundary64_holdout_m4096_n56,4096,56,16384,fp16,0,0,24
skinny_n_boundary64_holdout_m5120_n64,5120,64,16384,fp16,0,0,24
large_k_small_mn,128,128,32768,fp16,0,0,24
odd_tail_1,257,1009,4097,fp16,0,0,24
odd_tail_2,1025,4097,3073,fp16,0,0,24
odd_tail_3,4095,11007,4093,fp16,0,0,24
trans_a_case,4096,3072,2048,fp16,1,0,24
trans_b_case,2048,4096,3072,fp16,0,1,24
trans_ab_case,1024,1536,2048,fp16,1,1,24
bf16_llm,4096,11008,4096,bf16,0,0,24
fp32_square,2048,2048,2048,fp32,0,0,24
int8_projection,4096,4096,8192,int8,0,0,24
single_core_split_k_aligned,4096,4096,32768,fp16,0,0,24
single_core_split_k_unaligned,4097,4097,32769,fp16,0,0,24
deterministic_split_k_unaligned,127,127,32769,fp16,0,0,24
al1_full_load_fp32_nt,16,320,4096,fp32,0,1,24
bl1_full_load_aligned,65536,128,128,fp16,0,0,24
bl1_full_load_unaligned,65536,192,16,fp16,1,0,24
bl1_full_load_fixpipe,65536,7,16,fp16,0,0,24
bl1_full_load_vec_nz2nd,65536,7,8,fp32,0,0,24
skinny_n_k16384_holdout_m3072_n17,3072,17,16384,fp16,0,0,24
skinny_n_k16384_holdout_m4096_n24,4096,24,16384,fp16,0,0,24
skinny_n_k16384_holdout_m5120_n29,5120,29,16384,fp16,0,0,24
det_split_k_aligned_holdout_k16384,128,128,16384,fp16,0,0,24
det_split_k_aligned_holdout_k49152,128,128,49152,fp16,0,0,24
det_split_k_aligned_holdout_k65536,128,128,65536,fp16,0,0,24
