id,m,n,k,dtype,trans_a,trans_b,max_cores
general_holdout_balanced,1536,2560,3072,fp16,0,0,24
general_holdout_tall,3072,768,4096,fp16,0,0,24
general_holdout_wide,768,3072,4096,fp16,0,0,24
general_holdout_large,4096,6144,4096,fp16,0,0,24
general_holdout_odd,1537,2305,4099,fp16,0,0,24
general_holdout_skinny_m,33,3072,8192,fp16,0,0,24
general_holdout_skinny_n_k8192,3072,80,8192,fp16,0,0,24
general_holdout_shallow_k,1536,1536,256,fp16,0,0,24
general_holdout_trans_a,1536,2048,3072,fp16,1,0,24
general_holdout_trans_b,1536,2048,3072,fp16,0,1,24
general_holdout_trans_ab,1024,2304,1536,fp16,1,1,24
general_holdout_bf16,2048,3072,4096,bf16,0,0,24
general_holdout_fp32_nt,16,288,4096,fp32,0,1,24
general_holdout_fp32_nn,1024,1024,1024,fp32,0,0,24
control_skinny_n,4096,17,16384,fp16,0,0,24
control_split_k,128,128,32768,fp16,0,0,24
