id,m,n,k,dtype,trans_a,trans_b,max_cores
external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,24
external_v2_dense_balanced_odd,1663,2591,3587,fp16,0,0,24
external_v2_dense_tall,3584,896,5120,fp16,0,0,24
external_v2_dense_wide,896,3584,5120,fp16,0,0,24
external_v2_dense_large,4608,5120,6144,fp16,0,0,24
external_v2_k_shallow,1792,2048,320,fp16,0,0,24
external_v2_k_deep,1024,1536,32768,fp16,0,0,24
external_v2_k_low_output_deep_aligned,192,128,24576,fp16,0,0,24
external_v2_k_low_output_deep_odd,512,384,12289,fp16,0,0,24
external_v2_skinny_m,47,3584,12288,fp16,0,0,24
external_v2_skinny_n,3584,73,12288,fp16,0,0,24
external_v2_layout_tn,1792,2560,3584,fp16,1,0,24
external_v2_layout_nt,1664,2432,3328,fp16,0,1,24
external_v2_layout_tt,1280,1920,2560,fp16,1,1,24
external_v2_bf16_aligned,2560,3584,5120,bf16,0,0,24
external_v2_bf16_odd,1023,1537,3073,bf16,0,0,24
external_v2_fp32_nn,768,1280,1536,fp32,0,0,24
external_v2_fp32_nt,32,352,5120,fp32,0,1,24
external_v2_fp32_tn,640,960,1280,fp32,1,0,24
external_v2_fp32_tt,384,640,768,fp32,1,1,24
external_v2_template_al1,16,304,5120,fp32,0,1,24
external_v2_template_bl1,49152,160,128,fp16,0,0,24
