id,m,n,k,dtype,trans_a,trans_b,max_cores
m_small_n_small_k_small_fp16_nn_cap4,192,160,384,fp16,0,0,4
m_small_n_small_k_medium_fp16_nn_cap4,192,160,3072,fp16,0,0,4
m_small_n_small_k_large_fp16_nn_cap8,192,160,12288,fp16,0,0,8
m_small_n_medium_k_small_fp16_nn_cap4,192,768,384,fp16,0,0,4
m_small_n_medium_k_medium_fp16_nn_cap8,192,768,3072,fp16,0,0,8
m_small_n_medium_k_large_fp16_nn_cap12,192,768,12288,fp16,0,0,12
m_small_n_large_k_small_fp16_nn_cap8,192,3072,384,fp16,0,0,8
m_small_n_large_k_medium_fp16_nn_cap12,192,3072,3072,fp16,0,0,12
m_small_n_large_k_large_fp16_nn_cap20,192,3072,12288,fp16,0,0,20
m_medium_n_small_k_small_fp16_nn_cap4,1536,160,384,fp16,0,0,4
m_medium_n_small_k_medium_fp16_nn_cap8,1536,160,3072,fp16,0,0,8
m_medium_n_small_k_large_fp16_nn_cap12,1536,160,12288,fp16,0,0,12
m_medium_n_medium_k_small_fp16_nn_cap8,1536,768,384,fp16,0,0,8
m_medium_n_medium_k_medium_fp16_nn_cap12,1536,768,3072,fp16,0,0,12
m_medium_n_medium_k_large_fp16_nn_cap20,1536,768,12288,fp16,0,0,20
m_medium_n_large_k_small_fp16_nn_cap12,1536,3072,384,fp16,0,0,12
m_medium_n_large_k_medium_fp16_nn_cap20,1536,3072,3072,fp16,0,0,20
m_medium_n_large_k_large_fp16_nn_cap20,1536,3072,12288,fp16,0,0,20
m_large_n_small_k_small_fp16_nn_cap8,6144,160,384,fp16,0,0,8
m_large_n_small_k_medium_fp16_nn_cap12,6144,160,3072,fp16,0,0,12
m_large_n_small_k_large_fp16_nn_cap20,6144,160,12288,fp16,0,0,20
m_large_n_medium_k_small_fp16_nn_cap12,6144,768,384,fp16,0,0,12
m_large_n_medium_k_medium_fp16_nn_cap20,6144,768,3072,fp16,0,0,20
m_large_n_medium_k_large_fp16_nn_cap20,6144,768,12288,fp16,0,0,20
m_large_n_large_k_small_fp16_nn_cap20,6144,3072,384,fp16,0,0,20
m_large_n_large_k_medium_fp16_nn_cap20,6144,3072,3072,fp16,0,0,20
m_large_n_large_k_large_fp16_nn_cap20,6144,3072,12288,fp16,0,0,20
m_small_n_medium_k_small_fp16_nt_cap4,192,768,384,fp16,0,1,4
m_small_n_large_k_medium_fp16_nt_cap8,192,3072,3072,fp16,0,1,8
m_medium_n_small_k_large_fp16_nt_cap8,1536,160,12288,fp16,0,1,8
m_medium_n_medium_k_small_fp16_nt_cap12,1536,768,384,fp16,0,1,12
m_medium_n_large_k_medium_fp16_nt_cap16,1536,3072,3072,fp16,0,1,16
m_large_n_small_k_small_fp16_nt_cap8,6144,160,384,fp16,0,1,8
m_large_n_medium_k_large_fp16_nt_cap20,6144,768,12288,fp16,0,1,20
m_large_n_large_k_medium_fp16_nt_cap20,6144,3072,3072,fp16,0,1,20
m_small_n_small_k_medium_fp16_tn_cap4,192,160,3072,fp16,1,0,4
m_small_n_medium_k_large_fp16_tn_cap8,192,768,12288,fp16,1,0,8
m_small_n_large_k_small_fp16_tn_cap8,192,3072,384,fp16,1,0,8
m_medium_n_small_k_medium_fp16_tn_cap8,1536,160,3072,fp16,1,0,8
m_medium_n_medium_k_large_fp16_tn_cap16,1536,768,12288,fp16,1,0,16
m_medium_n_large_k_small_fp16_tn_cap12,1536,3072,384,fp16,1,0,12
m_large_n_small_k_medium_fp16_tn_cap12,6144,160,3072,fp16,1,0,12
m_large_n_large_k_large_fp16_tn_cap20,6144,3072,12288,fp16,1,0,20
m_small_n_small_k_large_fp16_tt_cap4,192,160,12288,fp16,1,1,4
m_small_n_large_k_small_fp16_tt_cap8,192,3072,384,fp16,1,1,8
m_medium_n_small_k_small_fp16_tt_cap8,1536,160,384,fp16,1,1,8
m_medium_n_medium_k_medium_fp16_tt_cap12,1536,768,3072,fp16,1,1,12
m_medium_n_large_k_large_fp16_tt_cap16,1536,3072,12288,fp16,1,1,16
m_large_n_small_k_large_fp16_tt_cap12,6144,160,12288,fp16,1,1,12
m_large_n_medium_k_small_fp16_tt_cap20,6144,768,384,fp16,1,1,20
m_large_n_large_k_medium_fp16_tt_cap20,6144,3072,3072,fp16,1,1,20
m_small_n_small_k_small_bf16_nn_cap4,192,160,384,bf16,0,0,4
m_small_n_medium_k_medium_bf16_nn_cap8,192,768,3072,bf16,0,0,8
m_small_n_large_k_large_bf16_nn_cap12,192,3072,12288,bf16,0,0,12
m_medium_n_small_k_medium_bf16_nn_cap8,1536,160,3072,bf16,0,0,8
