campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:960:16:16:160:24:48:4:4:1:6:6:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:960:16:16:160:48:24:4:4:1:6:6:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:640:16:16:160:16:32:4:4:1:4:4:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:640:16:16:160:32:16:4:4:1:4:4:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:1280:16:16:160:32:64:4:4:1:8:8:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:1280:16:16:160:64:32:4:4:1:8:8:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:480:16:16:160:12:24:4:4:0:3:3:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:480:16:16:160:24:12:4:4:0:3:3:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:320:16:16:160:8:16:4:4:1:2:2:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:320:16:16:160:16:8:4:4:1:2:2:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:160:16:16:160:4:8:4:4:0:1:1:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,19:96:2816:160:16:16:160:8:4:4:4:0:1:1:1:1:1:1:1:19:1:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:192:1408:512:32:32:32:32:32:1:1:0:16:16:2:2:1:10:1:1:2:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:192:1408:256:32:32:32:16:16:1:1:0:8:8:2:2:1:10:1:1:2:0:2
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:896:288:3584:16:16:384:1:2:1:1:1:1:1:2:1:1:1:3:2:4:0:0
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,14:256:1408:3584:48:48:48:64:32:4:4:1:8:8:1:1:1:7:2:1:1:0:0
contract_behavior_v1_round1,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:304:576:256:48:64:16:128:64:4:4:1:16:16:2:2:2:3:3:2:2:1:2
