campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:576:672:1024:48:16:128:24:16:3:2:0:8:8:1:2:1:1:2:4:3:1:2
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,14:176:3328:1280:16:16:80:32:32:1:1:0:16:16:1:2:1:14:1:1:1:1:2
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,14:176:3328:1280:16:16:80:16:16:1:1:0:16:16:1:2:1:7:1:2:1:2:2
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:144:416:4608:96:16:160:8:32:1:2:1:8:8:2:2:2:16:3:1:3:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:256:192:4608:128:80:112:8:16:2:2:1:4:4:2:2:2:5:5:2:4:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:288:144:4608:32:16:512:8:8:4:4:0:1:1:2:2:2:1:1:8:24:1:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,12:192:3328:4608:16:16:80:16:8:2:1:1:8:8:2:1:1:12:1:1:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,7:2304:512:4608:32:512:32:8:2:4:1:1:1:1:2:2:2:1:2:1:6:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:464:128:4608:16:16:1024:2:8:1:4:0:2:2:2:2:1:1:6:5:5:1:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:288:1120:4608:16:16:1536:1:1:1:1:0:1:1:1:1:1:1:2:8:2:1:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:128:480:4608:32:32:512:4:4:2:2:1:2:2:2:1:1:5:2:4:6:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:368:144:4608:368:16:80:4:16:1:2:1:4:4:1:2:1:1:24:7:1:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_aligned,2304,3328,4608,fp16,0,0,20:112:384:4608:16:32:512:16:4:4:2:1:2:2:1:2:1:7:2:3:5:1:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:128:336:4099:64:112:128:16:8:2:1:1:4:4:2:2:2:1:3:15:4:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:480:96:4099:112:16:128:16:16:4:4:1:4:4:2:2:2:4:1:1:32:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,11:384:3008:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:5:1:0:3
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,11:1872:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:8:1:3
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,12:160:3008:4099:16:16:80:16:8:2:1:1:8:8:2:1:1:12:1:1:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:1872:64:4099:64:64:48:64:16:4:1:1:8:8:2:1:1:1:6:1:8:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:448:112:4099:448:64:16:8:8:1:1:1:8:8:1:1:1:2:6:3:5:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,5:448:3008:4099:448:16:16:16:16:1:2:1:8:8:1:2:1:5:1:1:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:96:304:4099:64:64:256:4:8:1:2:0:2:2:1:2:1:20:2:1:9:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:112:288:4099:64:64:256:4:8:1:1:1:4:4:2:1:1:6:4:3:3:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:624:64:4099:64:16:224:4:16:1:2:1:4:4:2:2:1:3:3:1:22:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_balanced_odd,1871,3007,4099,fp16,0,0,20:304:112:4099:304:48:96:4:4:1:2:1:2:2:1:2:1:7:27:1:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,20:448:576:6144:16:48:224:16:16:2:1:0:8:8:2:2:2:10:1:1:2:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,14:624:576:6144:32:48:256:8:16:4:4:1:2:2:1:1:1:4:1:2:2:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,14:320:1152:6144:16:32:256:8:16:1:2:0:8:8:2:1:1:1:1:14:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,11:400:1152:6144:32:16:256:16:8:1:1:1:8:8:1:1:1:11:1:1:1:0:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,18:4352:64:6144:64:64:32:4:1:4:1:0:1:1:2:1:1:1:18:1:1:2:0
adaptive_racing_net_log19,Ascend910B3,20,external_v3_dense_tall,4352,1152,6144,fp16,0,0,8:2176:304:6144:48:304:16:8:1:4:1:1:1:1:2:2:2:1:2:2:3:2:0
