campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:448:576:3584:32:48:448:8:4:4:4:0:1:1:2:1:1:1:3:4:2:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:224:320:3584:160:144:192:2:2:1:1:0:1:1:1:1:1:1:9:8:1:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,9:1792:320:3584:80:320:32:32:4:4:1:0:4:4:2:2:1:1:1:1:9:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,13:144:2816:3584:32:448:32:8:8:2:2:0:4:4:2:2:1:1:1:13:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,14:128:2816:3584:112:160:128:4:8:1:2:1:4:4:2:1:1:7:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,14:128:2816:3584:96:288:48:8:8:1:2:0:4:4:1:2:1:7:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,11:176:2816:3584:96:336:48:8:8:1:1:0:8:8:1:2:1:6:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,7:272:2816:3584:272:64:48:16:8:1:1:0:8:8:2:1:1:1:1:7:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,10:192:2816:3584:48:32:320:8:2:4:1:1:1:1:2:2:2:5:1:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,12:160:2816:3584:96:96:160:4:8:1:2:0:4:4:2:2:2:12:1:1:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:896:144:3584:16:32:64:2:4:1:2:0:1:1:2:1:1:2:7:1:3:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,4:1536:1408:3584:1536:16:16:8:8:1:2:1:4:4:1:2:1:1:2:2:1:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:128:224:3584:64:224:80:8:4:2:1:0:4:4:2:1:1:5:4:3:4:1:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,20:64:480:3584:48:384:64:16:8:1:1:0:8:8:2:1:1:5:1:6:6:0:0,runtime_rejected,0,3,3,runtime_rejected,runtime_rejected,3
two_stage_feedback_net_log14,Ascend910B3,20,external_v2_dense_balanced_aligned,1792,2816,3584,fp16,0,0,4:1792:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:8:1:3,contract_global,0.898998794556,6.26614488486315,6.26590039375787,regressed,regressed,3.4650452887261753
