record_id,run_id,soc,aic,toolkit,workload_id,m,n,k,dtype,trans_a,trans_b,rank,candidate_role,candidate_source,search_template,search_acquisition,search_behavior_metrics,tiling_signature,bank_tiling_signature,success,preflight_passed,preflight_mode,error,median_ms,stddev_ms,official_ms,official_stddev_ms,bank_ms,bank_stddev_ms,speedup_vs_official,speedup_vs_bank,delta_ms_vs_official,delta_pct_vs_official,delta_ms_vs_bank,delta_pct_vs_bank,status_vs_official,status_vs_bank,pair_validated,official_post_ms,bank_post_ms,official_drift_pct,bank_drift_pct
net_log25:cal_v1_dense_balanced_aligned:rank1,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,1,searched,calibration_local_counterfactual,BASE,0.8195566874219681,"{""runtime_risk_score"":0.8195566874219681}",20:128:256:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:16:12:0:0,,1,1,numeric_signed_axes_full_v3,,0.297420406342,,0.297636984429,,0.298261183313,,0.999272341482,0.997181071429,-0.000216578086992,-0.0727658518,-0.000840776971262,-0.2818928571,within_noise,within_noise,1,,,,
net_log25:cal_v1_dense_balanced_aligned:rank2,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,2,searched,calibration_local_counterfactual,BASE,0.8309716035252199,"{""runtime_risk_score"":0.8309716035252199}",20:128:256:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:2:2:12:7:0:0,,1,1,numeric_signed_axes_full_v3,,0.297476406097,,0.297749076047,,0.298373510008,,0.999084229063,0.996993352691,-0.000272669950363,-0.0915770937,-0.000897103910942,-0.3006647309,within_noise,within_noise,1,,,,
net_log25:cal_v1_dense_balanced_aligned:rank3,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,3,searched,calibration_local_counterfactual,BASE,0.8001646394186347,"{""runtime_risk_score"":0.8001646394186347}",20:128:256:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:1:1:20:12:1:0,,1,1,numeric_signed_axes_full_v3,,0.295491199493,,0.293788283924,,0.294404411382,,1.00579640395,1.00369148039,0.0017029155694,0.579640395,0.00108678811134,0.369148039,within_noise,within_noise,1,,,,
net_log25:cal_v1_dense_balanced_aligned:rank4,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,4,searched,calibration_local_counterfactual,BASE,0.8286129362407675,"{""runtime_risk_score"":0.8286129362407675}",20:128:256:5120:128:256:64:16:8:1:1:1:8:4:2:2:1:1:1:20:12:0:0,,1,1,numeric_signed_axes_full_v3,,0.297230796814,,0.297257610197,,0.297881013464,,0.99990979749,0.997817193373,-2.68133825563e-05,-0.009020251,-0.000650216650247,-0.2182806627,within_noise,within_noise,1,,,,
net_log25:cal_v1_dense_balanced_aligned:rank5,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,5,searched,calibration_local_counterfactual,BASE,0.8259390794915195,"{""runtime_risk_score"":0.8259390794915195}",20:128:256:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:14:12:0:0,,1,1,numeric_signed_axes_full_v3,,0.297239608765,,0.298040034681,,0.297941532771,,0.997314367795,0.997644088088,-0.000800425915517,-0.2685632205,-0.000701924006135,-0.2355911912,within_noise,within_noise,1,,,,
net_log25:cal_v1_dense_balanced_aligned:rank6,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,6,searched,calibration_coupled_counterfactual,BASE,0.799690522751791,"{""runtime_risk_score"":0.799690522751791}",20:256:1536:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:9:2:0:0,,0,0,npu_structured_numeric_rejected,"official structured numeric preflight failed at C index=256, actual=203.250000, expected=-5120.000000",,,,,,,,,,,,,runtime_rejected,runtime_rejected,0,,,,
net_log25:cal_v1_dense_balanced_aligned:rank7,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,7,searched,calibration_coupled_counterfactual,BASE,0.759742225984564,"{""runtime_risk_score"":0.759742225984564}",20:512:768:5120:64:256:64:32:8:1:1:0:16:4:2:2:2:1:2:5:2:0:0,,0,0,npu_structured_numeric_rejected,"official structured numeric preflight failed at C index=256, actual=203.250000, expected=-5120.000000",,,,,,,,,,,,,runtime_rejected,runtime_rejected,0,,,,
net_log25:cal_v1_dense_balanced_aligned:rank8,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,8,searched,calibration_coupled_counterfactual,BASE,0.7976150893048723,"{""runtime_risk_score"":0.7976150893048723}",20:256:1536:5120:256:128:64:8:16:1:1:0:4:8:2:2:1:1:1:10:2:0:0,,0,0,npu_structured_numeric_rejected,"official structured numeric preflight failed at C index=128, actual=203.250000, expected=5120.000000",,,,,,,,,,,,,runtime_rejected,runtime_rejected,0,,,,
net_log25:cal_v1_dense_balanced_aligned:rank9,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,9,searched,calibration_coupled_counterfactual,BASE,0.8018989812221325,"{""runtime_risk_score"":0.8018989812221325}",20:128:3072:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:5:1:4:1:0:0,,0,0,npu_structured_numeric_rejected,"official structured numeric preflight failed at C index=256, actual=203.250000, expected=-5120.000000",,,,,,,,,,,,,runtime_rejected,runtime_rejected,0,,,,
net_log25:cal_v1_dense_balanced_aligned:rank10,net_log25,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,cal_v1_dense_balanced_aligned,2560,3072,5120,fp16,0,0,10,searched,calibration_coupled_counterfactual,BASE,0.7914205172053839,"{""runtime_risk_score"":0.7914205172053839}",20:128:256:5120:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:15:12:0:0,,1,1,numeric_signed_axes_full_v3,,0.297351207733,,0.298263875671,,0.298396734826,,0.99694006545,0.996496184539,-0.000912667938183,-0.305993455,-0.001045527093,-0.3503815461,within_noise,within_noise,1,,,,
