record_id,run_id,soc,aic,toolkit,workload_id,m,n,k,dtype,trans_a,trans_b,candidate_role,candidate_source,tiling_signature,bank_tiling_signature,success,preflight_mode,median_ms,official_ms,bank_ms,status_vs_official,status_vs_bank,pair_validated
net_log27:oneshot_v4_01:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_01,3584,4352,6656,fp16,0,0,searched,feedback_winner_transfer,20:128:256:6656:128:256:64:16:8:1:1:0:8:4:2:2:1:2:2:24:9:0:0,20:128:256:6656:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:14:17:0:0,1,numeric_signed_axes_full_v3,0.751939620972,0.752182388306,0.75238243103,within_noise,within_noise,1
net_log27:oneshot_v4_02:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_02,2911,3809,6273,fp16,0,0,searched,feedback_regression_counterfactual,2:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:3:5:1:0:2,20:128:256:6273:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:12:15:0:0,1,numeric_signed_axes_full_v3,8.81165710449,0.698705596924,0.694414825439,regressed,regressed,1
net_log27:oneshot_v4_03:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_03,7168,1792,7680,fp16,0,0,searched,feedback_winner_transfer,7:7168:256:512:128:128:128:8:8:2:1:1:4:4:2:2:2:1:1:1:7:0:2,20:128:256:7680:128:256:64:16:8:1:1:0:8:4:2:2:1:2:1:28:7:0:0,1,numeric_signed_axes_full_v3,3.38111450195,0.728430786133,0.729582366943,regressed,regressed,1
net_log27:oneshot_v4_04:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_04,1792,7168,7680,fp16,0,0,searched,feedback_regression_counterfactual,2:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:5:5:12:0:2,20:128:256:7680:128:256:64:16:8:1:1:0:8:4:2:2:1:1:2:14:14:0:0,1,numeric_signed_axes_full_v3,14.5324975586,0.728248825073,0.728415603638,regressed,regressed,1
net_log27:oneshot_v4_05:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_05,6400,6912,8192,fp16,0,0,searched,feedback_winner_transfer,20:128:256:8192:128:256:64:16:8:1:1:0:8:4:2:2:1:3:3:23:9:0:0,20:128:256:8192:128:256:64:16:8:1:1:0:8:4:2:2:1:5:2:10:14:0:0,1,numeric_signed_axes_full_v3,2.71574035645,2.70963439941,2.71352844238,within_noise,within_noise,1
net_log27:oneshot_v4_06:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_06,3200,3456,640,fp16,0,0,searched,feedback_regression_counterfactual,13:256:3584:512:128:128:128:8:8:1:1:1:4:4:2:2:2:3:6:4:5:0:2,20:128:256:640:128:256:64:16:8:1:1:0:8:4:2:2:1:1:1:25:14:0:0,1,numeric_signed_axes_full_v3,0.0675228023529,0.0675375986099,0.0675532007217,within_noise,within_noise,1
net_log27:oneshot_v4_07:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_07,2368,2880,29696,fp16,0,0,searched,contract_coupled_policy,20:2368:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:8:1:3,20:240:1536:512:128:128:128:8:8:2:1:1:4:4:2:2:2:5:3:4:5:0:2,1,numeric_signed_axes_full_v3,2.6078704834,2.15287994385,2.15642684937,regressed,regressed,1
net_log27:oneshot_v4_08:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_08,640,448,28672,fp16,0,0,searched,contract_coupled_policy,20:384:128:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:2:2:3:0:2,20:64:128:28672:64:128:64:32:16:1:1:0:16:8:2:2:1:1:1:10:4:0:0,1,numeric_signed_axes_full_v3,0.394343185425,0.175820007324,0.176587200165,regressed,regressed,1
net_log27:oneshot_v4_09:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_09,1009,769,18433,fp16,0,0,searched,feedback_winner_transfer,3:384:1024:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:3:1:0:2,20:128:256:18433:128:256:64:16:8:1:1:0:8:4:2:2:1:1:1:8:4:0:0,1,numeric_signed_axes_full_v3,0.408019981384,0.407914810181,0.40714641571,within_noise,within_noise,1
net_log27:oneshot_v4_10:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_10,161,5376,13312,fp16,0,0,searched,feedback_winner_transfer,20:128:128:13312:128:128:64:16:16:1:1:0:8:8:2:2:1:2:5:1:10:0:0,20:128:128:13312:128:128:64:16:16:1:1:0:8:8:2:2:1:1:9:2:5:0:0,1,numeric_signed_axes_full_v3,0.187734794617,,,,,0
net_log27:oneshot_v4_11:rank1,net_log27,Ascend910B3,20,8.1.RC1+toolkit-7.7.0.1.225,oneshot_v4_11,5376,191,13312,fp16,0,0,searched,feedback_winner_transfer,20:128:192:13312:128:192:64:16:8:1:1:0:8:4:2:2:1:5:1:10:1:0:0,20:128:192:13312:128:192:64:16:8:1:1:0:8:4:2:2:1:11:1:4:1:0:0,1,numeric_signed_axes_full_v3,0.586800003052,,,,,0
