id,m,n,k,dtype,trans_a,trans_b,max_cores
oneshot_v1_01,2816,3584,5632,fp16,0,0,24
oneshot_v1_02,2479,3293,5501,fp16,0,0,24
oneshot_v1_03,6144,1280,6400,fp16,0,0,24
oneshot_v1_04,1280,6144,6400,fp16,0,0,24
oneshot_v1_05,6656,7168,8192,fp16,0,0,24
oneshot_v1_06,2688,2944,384,fp16,0,0,24
oneshot_v1_07,2048,2560,32768,fp16,0,0,24
oneshot_v1_08,384,256,32768,fp16,0,0,24
oneshot_v1_09,831,609,20481,fp16,0,0,24
oneshot_v1_10,97,5376,15360,fp16,0,0,24
oneshot_v1_11,5376,113,15360,fp16,0,0,24
oneshot_v1_12,2560,3328,5120,fp16,1,0,24
oneshot_v1_13,2432,3200,4864,fp16,0,1,24
oneshot_v1_14,1920,2560,4096,fp16,1,1,24
oneshot_v1_15,3584,4608,7168,bf16,0,0,24
oneshot_v1_16,1409,2017,4099,bf16,0,0,24
oneshot_v1_17,1152,1792,2304,fp32,0,0,24
oneshot_v1_18,80,544,4608,fp32,0,1,24
oneshot_v1_19,896,1280,1792,fp32,1,0,24
oneshot_v1_20,640,896,1280,fp32,1,1,24
oneshot_v1_21,48,448,4608,fp32,0,1,24
oneshot_v1_22,53248,288,256,fp16,0,0,24
oneshot_v1_23,256,192,16384,fp32,0,0,24
oneshot_v1_24,1536,2304,256,bf16,0,0,24
