record_key,record_type,run_id,soc,aic,mode,global_index,workload_index,workload_id,rank,shape,dtype,template,T,S,C,G,L2,median_ms,stddev_ms,tflops,speedup_vs_official,delta_pct,noise_pct,status,mark,official_ms,best_rank,ocr_complete,notes,I,L1,DB,L2O,preflight_contract,trans_a,trans_b
coverage:1-350,coverage,20260727_074700,Ascend910B3,20,full,1-350,,,,,,,,,,,,,,,,,,success,,,,1,all_candidates_1_through_350_completed_before_host_control_error,,,,,,,
candidate:llm_decode_qkv_1:20,candidate,20260727_074700,Ascend910B3,20,full,20,1,llm_decode_qkv_1,20,1x12288x4096,fp16,BASE,16x176x64,16x176x4096,20,1x70,1x4(1x20),0.0507516,2.58379e-05,,0.99989,0.0110315,1.42793,within_noise,measured,,,1,,,,,,,,
result:llm_decode_qkv_1,result,20260727_074700,Ascend910B3,20,full,,1,llm_decode_qkv_1,,1x12288x4096,fp16,,,,,,,0.050486,,,1.00515,,,within_noise,,0.050746,19,1,,,,,,,,
baseline:llm_decode_o_1,baseline,20260727_074700,Ascend910B3,20,full,,2,llm_decode_o_1,-1,1x4096x4096,fp16,,,,,,,0.0187716,9.47382e-05,1.78751,,,,official,,,,1,,,,,,,,
candidate:llm_decode_o_1:1,candidate,20260727_074700,Ascend910B3,20,full,21,2,llm_decode_o_1,1,1x4096x4096,fp16,BASE,16x208x64,16x208x4096,20,1x20,1x1(1x20),0.0190528,7.88804e-05,,0.985241,1.49801,1.30801,regressed,best,,,1,,,,,,,,
candidate:llm_decode_o_1:2,candidate,20260727_074700,Ascend910B3,20,full,22,2,llm_decode_o_1,2,1x4096x4096,fp16,BASE,16x208x64,16x208x4096,20,1x20,1x1(1x20),0.0190172,6.15559e-05,,0.987085,1.30836,1.20373,regressed,best,,,1,,,,,,,,
candidate:llm_decode_o_1:3,candidate,20260727_074700,Ascend910B3,20,full,23,2,llm_decode_o_1,3,1x4096x4096,fp16,BASE,16x224x64,16x224x4096,20,1x19,1x1(1x19),0.0187708,8.24387e-05,,1.00004,-0.00426119,1.33803,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_o_1:10,candidate,20260727_074700,Ascend910B3,20,full,30,2,llm_decode_o_1,10,1x4096x4096,fp16,BASE,16x80x128,16x80x4096,20,1x52,1x3(1x20),0.0190252,0.00011384,,0.98657,1.35098,1.57796,within_noise,measured,,,1,,,,,,,,
candidate:llm_decode_o_1:18,candidate,20260727_074700,Ascend910B3,20,full,38,2,llm_decode_o_1,18,1x4096x4096,fp16,BASE,16x32x512,16x32x4096,20,1x128,1x7(1x20),0.018768,5.71287e-05,,1.00019,-0.0191785,1.1787,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_o_1:20,candidate,20260727_074700,Ascend910B3,20,full,40,2,llm_decode_o_1,20,1x4096x4096,fp16,BASE,16x48x256,16x48x4096,20,1x86,1x5(1x20),0.0187692,7.04387e-05,,1.00013,-0.0127836,1.25812,within_noise,measured,,,1,,,,,,,,
result:llm_decode_o_1,result,20260727_074700,Ascend910B3,20,full,,2,llm_decode_o_1,,1x4096x4096,fp16,,,,,,,0.018768,,,1.00019,,,within_noise,,0.0187716,18,1,,,,,,,,
baseline:llm_decode_ffn_up_1,baseline,20260727_074700,Ascend910B3,20,full,,3,llm_decode_ffn_up_1,-1,1x11008x4096,fp16,,,,,,,0.0507036,6.17306e-05,1.77852,,,,official,,,,1,,,,,,,,
candidate:llm_decode_ffn_up_1:1,candidate,20260727_074700,Ascend910B3,20,full,41,3,llm_decode_ffn_up_1,1,1x11008x4096,fp16,BASE,16x112x128,16x112x4096,20,1x99,1x5(1x20),0.0504772,6.25781e-05,,1.00449,-0.446521,1,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_ffn_up_1:6,candidate,20260727_074700,Ascend910B3,20,full,46,3,llm_decode_ffn_up_1,6,1x11008x4096,fp16,BASE,16x192x64,16x192x4096,20,1x58,1x3(1x20),0.050456,4.93006e-05,,1.00491,-0.488333,1,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_ffn_up_1:10,candidate,20260727_074700,Ascend910B3,20,full,50,3,llm_decode_ffn_up_1,10,1x11008x4096,fp16,BASE,16x144x64,16x144x4096,20,1x77,1x4(1x20),0.0506924,7.30469e-05,,1.00022,-0.0220909,1,within_noise,measured,,,1,,,,,,,,
candidate:llm_decode_ffn_up_1:20,candidate,20260727_074700,Ascend910B3,20,full,60,3,llm_decode_ffn_up_1,20,1x11008x4096,fp16,BASE,16x128x128,16x128x4096,20,1x86,1x5(1x20),0.050696,5.3194e-05,,1.00015,-0.0149906,1,within_noise,measured,,,1,,,,,,,,
result:llm_decode_ffn_up_1,result,20260727_074700,Ascend910B3,20,full,,3,llm_decode_ffn_up_1,,1x11008x4096,fp16,,,,,,,0.050456,,,1.00491,,,within_noise,,0.0507036,6,1,,,,,,,,
baseline:llm_decode_ffn_down_1,baseline,20260727_074700,Ascend910B3,20,full,,4,llm_decode_ffn_down_1,-1,1x4096x11008,fp16,,,,,,,0.0463492,,,,,,official,,,,0,stddev_and_tflops_not_visible,,,,,,,
candidate:llm_decode_ffn_down_1:1,candidate,20260727_074700,Ascend910B3,20,full,61,4,llm_decode_ffn_down_1,1,1x4096x11008,fp16,BASE,16x208x64,16x208x11008,20,1x20,1x1(1x20),0.0463624,0.0001052,,0.999715,0.028477,1,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_ffn_down_1:2,candidate,20260727_074700,Ascend910B3,20,full,62,4,llm_decode_ffn_down_1,2,1x4096x11008,fp16,BASE,16x208x64,16x208x11008,20,1x20,1x1(1x20),0.0461116,1.31937e-05,,1.00515,-0.512637,1,within_noise,best,,,1,,,,,,,,
candidate:llm_decode_ffn_down_1:10,candidate,20260727_074700,Ascend910B3,20,full,70,4,llm_decode_ffn_down_1,10,1x4096x11008,fp16,BASE,16x240x64,16x240x11008,20,1x18,1x1(1x18),0.0461244,6.19026e-05,,1.00487,-0.485014,1,within_noise,measured,,,1,,,,,,,,
candidate:llm_decode_ffn_down_1:20,candidate,20260727_074700,Ascend910B3,20,full,80,4,llm_decode_ffn_down_1,20,1x4096x11008,fp16,BASE,16x64x256,16x64x11008,20,1x64,1x4(1x20),0.046342,5.32276e-05,,1.00016,-0.0155348,1,within_noise,measured,,,1,,,,,,,,
result:llm_decode_ffn_down_1,result,20260727_074700,Ascend910B3,20,full,,4,llm_decode_ffn_down_1,,1x4096x11008,fp16,,,,,,,0.0461116,,,1.00515,,,within_noise,,0.0463492,2,1,,,,,,,,
baseline:llm_batch8_qkv,baseline,20260727_074700,Ascend910B3,20,full,,5,llm_batch8_qkv,-1,8x12288x4096,fp16,,,,,,,0.0537008,0.000323294,14.9962,,,,official,,,,1,,,,,,,,
candidate:llm_batch8_qkv:1,candidate,20260727_074700,Ascend910B3,20,full,81,5,llm_batch8_qkv,1,8x12288x4096,fp16,BASE,16x208x64,16x208x4096,20,1x60,1x3(1x20),0.0535644,0.000104715,,1.00255,-0.253999,1.26564,within_noise,best,,,1,,,,,,,,
candidate:llm_batch8_qkv:3,candidate,20260727_074700,Ascend910B3,20,full,83,5,llm_batch8_qkv,3,8x12288x4096,fp16,BASE,16x320x32,16x320x4096,20,1x39,1x2(1x20),0.0535236,0.000122561,,1.00331,-0.329981,1.28768,within_noise,best,,,1,,,,,,,,
candidate:llm_batch8_qkv:7,candidate,20260727_074700,Ascend910B3,20,full,87,5,llm_batch8_qkv,7,8x12288x4096,fp16,BASE,16x128x128,16x128x4096,20,1x96,1x5(1x20),0.0534928,8.98733e-05,,1.00389,-0.387333,1.24972,within_noise,best,,,1,,,,,,,,
candidate:llm_batch8_qkv:8,candidate,20260727_074700,Ascend910B3,20,full,88,5,llm_batch8_qkv,8,8x12288x4096,fp16,BASE,16x128x128,16x128x4096,20,1x96,1x5(1x20),0.0534364,0.000125215,,1.00495,-0.49236,1.29121,within_noise,best,,,1,,,,,,,,
candidate:llm_batch8_qkv:10,candidate,20260727_074700,Ascend910B3,20,full,90,5,llm_batch8_qkv,10,8x12288x4096,fp16,BASE,16x224x64,16x224x4096,20,1x55,1x3(1x20),0.0535516,0.00013063,,1.00279,-0.277831,1.29864,within_noise,measured,,,1,,,,,,,,
candidate:llm_batch8_qkv:20,candidate,20260727_074700,Ascend910B3,20,full,100,5,llm_batch8_qkv,20,8x12288x4096,fp16,BASE,16x176x64,16x176x4096,20,1x70,1x4(1x20),0.0534176,9.37287e-05,,1.0053,-0.527363,1.25364,within_noise,best,,,1,,,,,,,,
result:llm_batch8_qkv,result,20260727_074700,Ascend910B3,20,full,,5,llm_batch8_qkv,,8x12288x4096,fp16,,,,,,,0.0534176,,,1.0053,,,within_noise,,0.0537008,20,1,,,,,,,,
baseline:llm_batch32_ffn_up,baseline,20260727_074700,Ascend910B3,20,full,,6,llm_batch32_ffn_up,-1,32x11008x4096,fp16,,,,,,,0.0600092,0.000125418,48.0873,,,,official,,,,1,,,,,,,,
candidate:llm_batch32_ffn_up:1,candidate,20260727_074700,Ascend910B3,20,full,101,6,llm_batch32_ffn_up,1,32x11008x4096,fp16,BASE,32x288x32,32x288x4096,20,1x39,1x2(1x20),0.0601804,,,0.997155,0.285296,1,within_noise,best,,,0,stddev_truncated_by_OCR,,,,,,,
candidate:llm_batch32_ffn_up:2,candidate,20260727_074700,Ascend910B3,20,full,102,6,llm_batch32_ffn_up,2,32x11008x4096,fp16,BASE,32x288x32,32x288x4096,20,1x39,1x2(1x20),0.0601268,,,0.998044,0.195974,1,within_noise,best,,,0,stddev_truncated_by_OCR,,,,,,,
candidate:llm_batch32_ffn_up:3,candidate,20260727_074700,Ascend910B3,20,full,103,6,llm_batch32_ffn_up,3,32x11008x4096,fp16,BASE,32x192x64,32x192x4096,20,1x58,1x3(1x20),0.0600556,,,0.999227,0.0773232,1,within_noise,best,,,0,stddev_truncated_by_OCR,,,,,,,
